X réel,Y réel
0.5903614457831325,2.8794642857142856
0.608433734939759,2.825892857142857
0.6219879518072289,2.776785714285714
0.6310240963855421,2.71875
0.6445783132530121,2.674107142857143
0.6536144578313253,2.6205357142857144
0.6671686746987951,2.5669642857142856
0.6852409638554217,2.517857142857143
0.7033132530120482,2.455357142857143
0.7213855421686747,2.4017857142857144
0.7349397590361446,2.361607142857143
0.7530120481927711,2.294642857142857
0.7756024096385542,2.2410714285714284
0.7936746987951807,2.1919642857142856
0.8072289156626505,2.1517857142857144
0.8298192771084337,2.0982142857142856
0.8524096385542168,2.049107142857143
0.875,2.0044642857142856
0.8975903614457831,1.9419642857142856
0.9201807228915663,1.9017857142857142
0.9382530120481928,1.8660714285714286
0.9698795180722891,1.8169642857142856
0.9879518072289156,1.7678571428571428
1.019578313253012,1.7232142857142856
1.0512048192771086,1.6785714285714286
1.0873493975903612,1.6339285714285714
1.1189759036144578,1.59375
1.141566265060241,1.5580357142857142
1.177710843373494,1.5223214285714286
1.2093373493975905,1.4776785714285714
1.2409638554216866,1.4508928571428572
1.2816265060240966,1.40625
1.322289156626506,1.3660714285714286
1.3629518072289155,1.3392857142857142
1.4036144578313254,1.2991071428571428
1.4397590361445785,1.2723214285714286
1.4759036144578315,1.25
1.5120481927710845,1.2232142857142856
1.5662650602409638,1.1875
1.6114457831325302,1.1651785714285714
1.6521084337349397,1.1383928571428572
1.7063253012048194,1.1116071428571428
1.7605421686746987,1.0714285714285714
1.8237951807228914,1.0401785714285714
1.8644578313253013,1.0267857142857142
1.9412650602409638,0.9955357142857142
2.0180722891566267,0.9642857142857142
2.085843373493976,0.9464285714285714
2.1400602409638556,0.9151785714285716
2.2123493975903616,0.8883928571428572
2.2801204819277108,0.8616071428571428
2.338855421686747,0.8482142857142856
2.38855421686747,0.8392857142857144
2.4563253012048194,0.8214285714285716
2.5286144578313254,0.7901785714285716
2.605421686746988,0.7767857142857144
2.6686746987951806,0.7633928571428572
2.7409638554216866,0.7455357142857144
2.8177710843373496,0.7321428571428572
2.894578313253012,0.7142857142857144
2.9533132530120483,0.7053571428571428
