X réel,Y réel
1.4615384615384617,2.982608695652174
1.4700854700854702,2.9173913043478263
1.4786324786324787,2.821739130434783
1.4914529914529915,2.726086956521739
1.5085470085470087,2.617391304347826
1.512820512820513,2.5
1.52991452991453,2.4086956521739133
1.5427350427350428,2.3173913043478263
1.5641025641025643,2.221739130434783
1.5683760683760686,2.11304347826087
1.5854700854700856,2.0130434782608697
1.6111111111111112,1.8956521739130436
1.6282051282051284,1.7869565217391306
1.6410256410256412,1.7000000000000002
1.6623931623931625,1.5869565217391306
1.6794871794871797,1.5043478260869567
1.7051282051282053,1.4000000000000001
1.7307692307692308,1.2782608695652176
1.7564102564102566,1.1869565217391305
1.7863247863247864,1.091304347826087
1.8162393162393164,0.9956521739130437
1.8376068376068377,0.9130434782608696
1.8632478632478635,0.8434782608695652
1.8974358974358976,0.7521739130434786
1.9358974358974361,0.6652173913043478
1.965811965811966,0.6000000000000001
2.012820512820513,0.517391304347826
2.0512820512820515,0.4434782608695653
2.106837606837607,0.3826086956521739
2.1581196581196584,0.31304347826086953
2.213675213675214,0.2521739130434786
2.2692307692307696,0.20434782608695645
2.3376068376068377,0.16956521739130448
2.414529914529915,0.1434782608695655
2.512820512820513,0.1217391304347828
2.58974358974359,0.12608695652173907
2.653846153846154,0.13913043478260878
2.7094017094017095,0.16521739130434776
2.7692307692307696,0.19130434782608718
2.824786324786325,0.21739130434782616
2.8803418803418808,0.26521739130434785
2.918803418803419,0.28260869565217384
2.952991452991453,0.31739130434782625
2.9743589743589745,0.33913043478260896
