3,3.178496643725684,"min and time near min",5.399999999999977
3,6.731606271297081,"max"
5,3.846369079197048,"min and time near min",4.400000000000091
5,4.065882702913741,"max"
10,3.075239338906099,"equilibrium"
20,2.339123169683909,"equilibrium"
30,1.976154736574541,"equilibrium"
40,1.747546361546374,"equilibrium"
50,1.585911591670968,"equilibrium"
60,1.463531756998489,"equilibrium"
70,1.366557730382061,"equilibrium"
80,1.2871731702277258,"equilibrium"
90,1.2205782264097291,"equilibrium"
100,1.1636363636363594,"equilibrium"
