3,0.04697001112659976,"min and time near min",6.800000000000068
3,20.044432078405755,"max"
5,0.12637152796629475,"min and time near min",4.399999999999977
5,14.899483793393568,"max"
10,0.47888160583130596,"min and time near min",3.
10,8.248697357925854,"max"
20,2.39999999999995,"equilibrium"
30,2.3999999999999955,"equilibrium"
40,2.4,"equilibrium"
50,2.4,"equilibrium"
60,2.4000000000000052,"equilibrium"
70,2.400000000000155,"equilibrium"
80,2.4,"equilibrium"
90,2.4,"equilibrium"
100,2.399999999999999,"equilibrium"
