2,2,7.41337913521567,equilibrium,
3,3,5.258224133253957,equilibrium,
4,4,4.474748491395237,equilibrium,
5,5,4.0759858757061345,equilibrium,
6,6,3.8357288012489303,equilibrium,
7,7,3.675512025813477,equilibrium,
8,8,3.561183265627059,equilibrium,
9,9,3.475553828975849,equilibrium,
10,10,3.4090486896394276,equilibrium,
12,12,3.312503308138719,equilibrium,
15,15,3.0146738396063397,min and time near min,4.400000000000091
15,15,3.4533898990966896,max,
20,20,2.606251964626027,min and time near min,4.399999999999977
20,20,3.903689748061005,max,
30,30,2.3934968955660034,min and time near min,4.600000000000023
30,30,4.150509202446984,max,
40,40,2.309711079945963,min and time near min,4.600000000000023
40,40,4.248599506305106,max,
50,50,2.2640092683407596,min and time near min,4.600000000000023
50,50,4.302091820565978,max,
100,100,2.180208023931832,min and time near min,4.600000000000023
100,100,4.399796836840192,max,
200,200,2.141424042100373,min and time near min,4.7999999999999545
200,200,4.444768729873074,max,
