1,1,14346.918987304145,equilibrium,
2,2,281.49819445891444,min and time between each peak,90
2,2,382.1802587437794,max,
3,3,3.918704484807461,min and time between each peak,122
3,3,9823.576075522502,max,
4,4,1.1286409162746085,min and time between each peak,142
4,4,23727.090370421327,max,
5,5,0.6778771519292148,min and time between each peak,152
5,5,36031.59937796186,max,
10,10,0.2825344072500716,min and time between each peak,173
10,10,89132.85950281915,max,
20,20,0.15869240411315594,min and time between each peak,187
20,20,167745.14229444356,max,
30,30,0.1205933741530513,min and time between each peak,192
30,30,217032.67651225708,max,
40,40,0.10193231837001461,min and time between each peak,194
40,40,249618.06274888758,max,
50,50,0.0906755842207019,min and time between each peak,195
50,50,272782.2309876565,max,
100,100,0.06817657814142451,min and time between each peak,198
100,100,327589.8521662763,max,
