species,stage,weibull_shape,weibull_scale,weibull_shift,scale_av_zero,shape_av_zero,shift_av_zero,scale_se_zero,shape_se_zero,shift_se_zero,w-dist_zero,scale_av_pos,shape_av_pos,shift_av_pos,scale_se_pos,shape_se_pos,shift_se_pos,w-dist_pos,scale_av_copy,shape_av_copy,shift_av_copy,scale_se_copy,shape_se_copy,shift_se_copy,w-dist_copy
Acantholyda erythrocephala ,Larva,0.256,2.111,0.752,    0.0128,   76.5505,    0.0000,    0.0001,    0.3736,    0.0000,    0.0089,    0.0454,    6.4377,    0.6883,    0.0008,    0.1949,    0.0036,    0.0049,    0.0657,    3.4583,    0.7520,    0.0004,    0.0212,    0.0000,    0.0099
Hylobius pales,Egg,0.14,2.09,0.89,    0.0038,  269.1823,    0.0000,    0.0000,    1.6041,    0.0000,    0.0036,    0.0038,  267.6135,    0.0000,    0.0000,    1.2738,    0.0000,    0.0036,    0.0367,    3.3900,    0.8900,    0.0002,    0.0198,    0.0000,    0.0086
Hylobius pales,Larva,0.26,2.42,0.78,    0.0100,  101.2830,    0.0000,    0.0001,    0.6415,    0.0000,    0.0050,    0.0193,   56.1932,    0.3220,    0.0029,   13.6879,    0.1018,    0.3978,    0.0532,    4.3284,    0.7800,    0.0003,    0.0264,    0.0000,    0.0128
Hylobius pales,Prepupa,0.47,2.04,0.63,    0.0424,   24.6470,    0.0000,    0.0002,    0.1199,    0.0000,    0.0112,    0.0872,    7.4449,    0.4803,    0.0048,    1.7745,    0.0499,    0.0841,    0.1285,    3.2449,    0.6300,    0.0006,    0.0203,    0.0000,    0.0174
Hylobius pales,Pupa,0.32,3.23,0.72,    0.0095,  106.3151,    0.0000,    0.0001,    0.7056,    0.0000,    0.0035,    0.0097,  103.0092,    0.0115,    0.0001,    1.1059,    0.0040,    0.0033,    0.0390,    7.3331,    0.7200,    0.0002,    0.0384,    0.0000,    0.0141
Rhagoletis mendax,Pupa,0.2864,1.7037,0.7594,    0.0223,   45.4619,    0.0000,    0.0002,    0.3143,    0.0000,    0.0184,    0.0927,    2.9614,    0.7407,    0.0010,    0.0414,    0.0010,    0.0066,    0.1079,    2.3681,    0.7594,    0.0012,    0.0232,    0.0000,    0.0096
Bemisia tabaci,Egg,0.1344,1.6151,0.8959,    0.0055,  184.2244,    0.0000,    0.0000,    1.0703,    0.0000,    0.0060,    0.0462,   20.2147,    0.8019,    0.0043,   16.8207,    0.0845,    0.7161,    0.0561,    2.1498,    0.8959,    0.0003,    0.0155,    0.0000,    0.0102
Bemisia tabaci,Pupa,0.2674,1.7318,0.7875,    0.0186,   55.0770,    0.0000,    0.0001,    0.2836,    0.0000,    0.0154,    0.0250,   50.3808,    0.0770,    0.0062,    4.9992,    0.0730,    0.3103,    0.0981,    2.4335,    0.7875,    0.0008,    0.0177,    0.0000,    0.0106
Ips calligraphus,Egg,0.3382,2.2849,0.7138,    0.0185,   54.7959,    0.0000,    0.0001,    0.2341,    0.0000,    0.0073,    0.0457,    9.5520,    0.5795,    0.0007,    0.2777,    0.0055,    0.0051,    0.0757,    3.9658,    0.7138,    0.0006,    0.0312,    0.0000,    0.0122
Ips calligraphus,Larva,0.2861,1.6819,0.7754,    0.0222,   46.3661,    0.0000,    0.0001,    0.1965,    0.0000,    0.0170,    0.0452,   33.3303,    0.2282,    0.0111,    6.3329,    0.1102,    0.7068,    0.1095,    2.3293,    0.7754,    0.0005,    0.0109,    0.0000,    0.0103
Ips calligraphus,Pupa,0.6022,2.2651,0.4874,    0.0606,   16.8639,    0.0000,    0.0004,    0.1068,    0.0000,    0.0071,    0.0657,   15.2488,    0.0579,    0.0035,    1.0979,    0.0361,    0.0387,    0.1356,    3.9428,    0.4874,    0.0008,    0.0227,    0.0000,    0.0217
Ips avulsus,Egg,0.6045,2.4737,0.4788,    0.0531,   19.0838,    0.0000,    0.0001,    0.0580,    0.0000,    0.0069,    0.0535,   18.8628,    0.0079,    0.0003,    0.1781,    0.0051,    0.0067,    0.1176,    4.5624,    0.4788,    0.0008,    0.0346,    0.0000,    0.0226
Ips avulsus,Larva,0.5568,2.4245,0.5177,    0.0466,   21.7512,    0.0000,    0.0003,    0.1162,    0.0000,    0.0062,    0.0550,   16.8436,    0.1278,    0.0027,    1.5236,    0.0399,    0.0430,    0.1125,    4.4076,    0.5177,    0.0008,    0.0368,    0.0000,    0.0209
Ips avulsus,Pupa,0.9783,2.3917,0.1636,    0.1547,    6.6503,    0.0000,    0.0008,    0.0264,    0.0000,    0.0233,    0.1555,    6.6475,    0.0007,    0.0007,    0.0392,    0.0006,    0.0217,    0.1994,    4.3414,    0.1636,    0.0008,    0.0257,    0.0000,    0.0366
Toxoptera aurantii,Pupa,0.277,2.738,0.7594,    0.0093,  108.3754,    0.0000,    0.0001,    0.5769,    0.0000,    0.0030,    0.0138,   66.6276,    0.2430,    0.0013,   11.5451,    0.0704,    0.1547,    0.0449,    5.5030,    0.7594,    0.0003,    0.0413,    0.0000,    0.0126
Calosoma sycophanta,Pupa,0.14205,2.1888,0.8819,    0.0035,  284.0932,    0.0000,    0.0000,    1.2657,    0.0000,    0.0026,    0.0077,  209.1813,    0.2018,    0.0025,   32.0585,    0.1017,    0.7961,    0.0340,    3.6938,    0.8819,    0.0002,    0.0223,    0.0000,    0.0079
Diabrotica barberi,Egg PD,0.3646,1.5112,0.7081,    0.0433,   23.9021,    0.0000,    0.0003,    0.1368,    0.0000,    0.0263,    0.1369,    6.5391,    0.5603,    0.0150,    2.8076,    0.0885,    0.4077,    0.1687,    1.9589,    0.7081,    0.0008,    0.0090,    0.0000,    0.0125
Myzus persicae ,Nymph,0.1813,2.4255,0.8337,    0.0050,  200.1914,    0.0000,    0.0000,    1.1127,    0.0000,    0.0058,    0.0136,   81.2853,    0.4568,    0.0022,   26.1511,    0.1060,    0.5712,    0.0366,    4.3967,    0.8337,    0.0002,    0.0272,    0.0000,    0.0068
Myzus persicae ,Nymph,0.2614,3.5961,0.7644,    0.0053,  188.9184,    0.0000,    0.0000,    1.2486,    0.0000,    0.0027,    0.0054,  185.5906,    0.0028,    0.0000,    1.7569,    0.0026,    0.0025,    0.0261,    9.0371,    0.7644,    0.0002,    0.0712,    0.0000,    0.0089
Tenebrio molitor,Larva,1.0179,13.0948,0.0,    0.0091,  107.7615,    0.0000,    0.0001,    0.8921,    0.0000,    0.0134,    0.0092,  106.8686,    0.0000,    0.0001,    0.6377,    0.0000,    0.0133,    0.0092,  106.0187,    0.0000,    0.0001,    0.8992,    0.0000,    0.0134
Cnaphalocrocis medinalis,Egg,1.0031,10.5263,0.0,    0.0136,   70.2258,    0.0000,    0.0001,    0.5809,    0.0000,    0.0168,    0.0135,   70.6768,    0.0001,    0.0001,    0.4726,    0.0000,    0.0166,    0.0137,   69.7833,    0.0000,    0.0001,    0.6084,    0.0000,    0.0170
Cnaphalocrocis medinalis,Larva,1.0364,10.6033,0.0,    0.0138,   71.6456,    0.0000,    0.0001,    0.6871,    0.0000,    0.0181,    0.0137,   71.8711,    0.0015,    0.0001,    0.6605,    0.0014,    0.0184,    0.0138,   71.6148,    0.0000,    0.0001,    0.6717,    0.0000,    0.0180
Cnaphalocrocis medinalis,Prepupa,1.0676,6.2545,0.0,    0.0382,   26.0356,    0.0000,    0.0003,    0.2146,    0.0000,    0.0258,    0.0388,   25.5821,    0.0000,    0.0002,    0.1539,    0.0000,    0.0265,    0.0381,   26.1217,    0.0000,    0.0002,    0.1674,    0.0000,    0.0257
Cnaphalocrocis medinalis,Pupa,1.0263,12.12,0.0,    0.0106,   92.7390,    0.0000,    0.0001,    0.7499,    0.0000,    0.0157,    0.0107,   92.4268,    0.0000,    0.0001,    1.0445,    0.0000,    0.0155,    0.0104,   94.8399,    0.0000,    0.0001,    0.7548,    0.0000,    0.0154
Thrips palmi,Egg,0.2951,4.0865,0.0,    0.0233,   11.4998,    0.0000,    0.0001,    0.0650,    0.0000,    0.0131,    0.0231,   11.5748,    0.0000,    0.0001,    0.0568,    0.0000,    0.0130,    0.0233,   11.4888,    0.0000,    0.0001,    0.0624,    0.0000,    0.0131
